QuestionID,AnswerID,Answer Correct/Incorrect,TA Feedback,Student Response,Error Steps,Error Type,Syntax Correction,,Notes From Mich or Uzay,,Notes From Dev
S19_HW2_Q3_P2,541,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv((~p^~q)^(pvq)))->r"",""(rv(~x^x))->r"",""rvF->r"",""r->r"",""T""]",,,,,,,
S19_HW2_Q3_P2,532,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(p^~r)v(q^~r)v~(pvq)vr"",""rv~(pvq)v(~r^p)v(~r^q)"",""rv~(pvq)v(~r^(pvq))"",""~(~r^(pvq))v(~r^(pvq))"",""T""]",,,,,,,
S19_HW2_Q3_P2,520,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~pv~q)vr"",""(rv~r)^(rvp)v(q^~r)v(~p^~q)"",""rvpv(q^~r)v(~p^~q)"",""rv(q^~r)v(pv~p)^(pv~q)"",""(rv~r)^(rvq)v(pv~q)"",""rvqvpv~q"",""rvpvT"",""T""]",,,,,,,
S19_HW2_Q3_P2,559,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((p^~r)v(q^~r)v(~p^~q))vr"",""(((pvq)^~r)v(~p^~q))vr"",""(p^~rvr)v(q^~rvr)v(~p^~1vr)"",""p^T)v(q^T)v(~p^~qvr)"",""(pvqv(~p^~qvr))"",""((pvq)v~(pvq)vr)"",""Tvr"",""T""]","2,3",Other,,,,,No numbers
S19_HW2_Q3_P2,530,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~(((~pvr)^(~qvr)^(pvq)))vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~pv~q)"",""(~r^(pvq))v(~p^~q)vr"",""(~r^(pvq))vrv~(pvq)"",""(~r^(pvq))v~(~r^(pvq))"",""xv~x"",""T""]",,,,,,,
S19_HW2_Q3_P2,502,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq)->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]","0,1",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""(~pvr)^(~qvr)^(pvq)->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,
S19_HW2_Q3_P2,510,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((pvq)^((~p^~q)vr))->r"",""((pvq)^(~(pvq)vr))->r"",""(~(pvq)v((pvq)^~r))vr"",""((~(pvq)v(pvq))^(~(pvq)v~r)vr"",""T^~(pvq)v~rvr"",""~(pvq)v(~rvr)"",""~(pvq)vT"",""T""]",,,,,,,
S19_HW2_Q3_P2,484,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvq)^(~qvr)^(pvq))->r"",""((~pvq)^(pvq)^(~qvr))->r"",""((qv(~p^p))^(~qvr))->r"",""((qvF)^(~qvr))->r"",""(q^(~qvr))->r"",""((q^~q)v(q^r))->r"",""(Fv(q^r))->r"",""((Fvq)^(Fvr))->r"",""(q^r)->r"",""~(q^r)vr"",""(~qv~r)vr"",""((rv~q)v(rv~r))"",""((rv~q)vT)"",""T""]",,,,,,,
S19_HW2_Q3_P2,597,1,,"[""((p->r)^(q->r)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv(~p^(~q^(pvq)))->r"",""(rv(~p^((~q^p)v(~qvq))))->r"",""(rv(~p^((~q^p)vF)))->r"",""(rv(~p^(~q^p)))->r"",""(rv((~p^~q)^(~p^p)))->r"",""(rv((~p^~q)^F))->r"",""(rvF)->r"",""~(rvF)vr"",""(~r^T)vr"",""(rv~r)^(rvT)"",""T^T"",""T""]",,,,,,,
S19_HW2_Q3_P2,470,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""~(rv(~p^~q)^(pvq))vr"",""~((rv~p)^(rv~q)^(pvq))vr"",""~(rv~p)v~(rv~q)v~(pvq)vr"",""(~r^p)v(~r^q)v(~p^~q)vr"",""~r^(pvq)v(~p^~q)vr"",""~r^(pvq)v~(p^q)vr"",""~r^Sv(~S)vr"",""T""]",,,,,,,
S19_HW2_Q3_P2,468,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv(~p^~q))^(pvq))->r"",""((rv~(pvq))^(pvq))->r"",""((~(pvq)^(pvq))v((pvq)^(r))->r"",""(Fv((pvq)^r))->r"",""((pvq)^r)->r"",""~((pvq)^r)vr"",""(~(pvq)v~r)vr"",""~(pvq)v(~rvr)"",""~(pvq)vT"",""T""]",,,,,,,
S19_HW2_Q3_P2,627,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""rvF->r"",""r->r"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,571,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv~p)^(rv~q)^(pvq))->r"",""((rv(~p^~q)^(pvq))->r"",""~((rv~(pvq)^(pvq))vr"",""~((r^(pvq))v(~(pvq)^(pvq)))vr"",""~((r^(pvq))vF)vr"",""~(r^(pvq))vr"",""(~rv~(pvq))vr"",""(~rvr)v~(pvq)"",""Tv~(pvq)"",""T""]",,,,,,,
S19_HW2_Q3_P2,569,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv(~p^~q))^(pvq))->r"",""((rv~(pvq))^(pvq))->r"",""((r^(pvq))v(~(pvq)^(pvq))->r"",""((r^(pvq))v(F)->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""(~rv~(pvq))vr"",""(~rvr)v~(pvq)"",""(T)v~(pvq)"",""T""]","4,5",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv(~p^~q))^(pvq))->r"",""((rv~(pvq))^(pvq))->r"",""((r^(pvq))v(~(pvq)^(pvq))->r"",""(r^(pvq))v(F)->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""(~rv~(pvq))vr"",""(~rvr)v~(pvq)"",""(T)v~(pvq)"",""T""]",,,,Make sure you close parentheses
S19_HW2_Q3_P2,629,0,,"[""((p->r)^(q->r)^(pvq))"",""((p^(p->r))v(q^(q->r)))"",""rvr"",""r""]",0,Other,,,,,"Copy the question correctly, Associativity was used incorrectly"
S19_HW2_Q3_P2,496,0,"False OR a = a, not false","[""((p->r)^(q->r)^(pvq))->r"",""~((p->r)^(q->r)^(pvq))vr"",""~(p->r)v~(q->r)v~(pvq))vr"",""(p^~r)v(q^~r)v(~p^~q)vr"",""((rvp))v(q^~r)v(~p^~q)"",""((rvq)^(rv~r))v((p^~p)^(pv~q))"",""(rvq)v(pv~q)"",""T""]","5,6",Identity,,,,,
S19_HW2_Q3_P2,494,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~p^~q)vr"",""rv(p^~r)v(q^~r)v(~p^~q)"",""(rvp)^(rv~r)v(q^~r)v(~p^~q)"",""(rvp)^Tv(q^~r)v(~p^~q)"",""rv(q^~r)v(~p^~q)vp"",""((rvq)^(rv~r))v((pv~p)^(pv~q))"",""(rvq)v(pv~q)"",""rvpv(qv~q)"",""rvpvT"",""T""]",,,,,,,
S19_HW2_Q3_P2,478,0,,"[""((p->r)^(q->r)^(pvq))->r"",""(~pvr)^(~qvr)^(pvq)->r"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""pvrvqvrv~pv~qvr"",""pv~pvqv~qvr"",""TvTvr"",""T""]","3,4",Distributive,,,,,Relearn the distributive property
S19_HW2_Q3_P2,551,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((p->r)^(q->r)^(pvq))vr"",""~(p->r)v~(q->r)v~(pvq)vr"",""(p^~r)v(q^~r)v(~p^~q)vr"",""((rvp)^(rv~r))v(q^~r)v(~pv~q)"",""((rvp)^(T))v(q^~r)v(~p^~q)"",""rvpv(q^~r)v(~p^~q)"",""((rvq)^(rv~r))v((pv~p)^(pv~q))"",""((rvq)^(T)v((T))^(pv~q))"",""(rvq)v(pv~q)"",""Tvpvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,522,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(rv((~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,488,0,,"[""((p->r)^(q->r)^(pvq))->r"",""(~pvr)^(~qvr)^(p^q)"",""rv(~p^~q)^(p^q)"",""r""]","0,1",Other,,,,,
S19_HW2_Q3_P2,575,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((~p^~q)vr^(pvq))->r"",""~((~p^~q)vr^(pvq))vr"",""(~(~p^~q)^~rv~(pvq))vr"",""((pvq)^~rv~(pvq))vr"",""((pvq)^~(pvq)v~r)vr"",""(Fv~r)vr"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,634,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv~p)^(rv~q)^(pvq))->r"",""((rv(~p^~q)^(pvq))->r"",""((rv~a)^a)->r"",""~((rv~a)^a)vr"",""(~r^a)v(~avr)"",""(~r^a)v~(~r^a)"",""Bv~B"",""T""]",,,,,,,
S19_HW2_Q3_P2,500,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""rvF->r"",""r->r"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,595,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(~(~pvr)v~(~qvr)v~(pvq))vr"",""((p^~r)v(q^~r)v(~p^~q))vr"",""(~r^(pvq)v(~p^~q))vr"",""(~r^(pvq)v~(pvq))vr"",""(~r^((pvq)v~(pvq)))vr"",""~r^Tvr"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,583,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""(p^~r)v(q^~r)v(~p^~q)vr"",""(p^~r)v(~p^~q)v(q^~r)vr"",""p^~rv~p^~qvqvr^rv~r"",""p^~rv~p^Tvr^T"",""p^~rv~pvr"",""~pvp^~pv~rvr"",""T^~pv~rvr"",""~pv~rvr"",""~pvT"",""T""]",,,,,,,
S19_HW2_Q3_P2,474,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv~p)^(rv~q)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,617,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""~(~pvr)v~(~qvr)v~(pvq)vr"",""~((~pvr)^(~qvr)^(pvq)^~r"",""~((~pvr)^((~q^p)v(~q^q)v(r^p)v(r^q))^~r)"",""~((~pvr)^((~q^p)v(F)v(r^p)v(r^q)^~r)"",""~((~pvr)^((~q^p)v(r^p)v(r^q))^~r)"",""~((~pvr)^((~q^p^~r)v(r^p^~r)v(r^q^~r)))"",""~((~pvr)^((~q^p^~r)v(F)v(F)))"",""~((~pvr)^((~q^p^~r))"",""~((~q^p^~r^~p)v(~q^p^~r^r))"",""~((F)v(F))"",""T""]",,,,,,,
S19_HW2_Q3_P2,591,0,,"[""((p->r)^(q->r)^(pvq))->r"",""(p^q->r)v(pvq)"",""~pv~qvrvpvq"",""TvTvr"",""T""]","0,1",Other,,,,,Remember the entire question
S19_HW2_Q3_P2,466,0,,"[""((p->r)^(q->r)^(pvq))->r"",""(~pvr)^(~qvr)^(~pvq)->r"",""~((~pvr)^(~qvr)^(~pvq))vr"",""(p^~r)v(q^~r)v(~(pvq))vr"",""((pvq)^~r)v(~(pvq)vr)"",""((pvq)^~r)v(~((pvq)^~r))"",""TvF"",""T""]","0,1",Other,,,,,Make sure you don't accidentally add negatives
S19_HW2_Q3_P2,508,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvq)^(~qvr)^(pvq))->r"",""((~pvq)^(pvq)^(~qvr))->r"",""((qv~p)^(qvp)^(~qvr))->r"",""((qv(~p^p))^(~qvr))->r"",""((qvF)^(~qvr))->r"",""((q^(~qvr))->r"",""((q^~q)v(q^r))->r"",""(Fv(q^r))->r"",""(q^r)->r"",""~(q^r)vr"",""~qv~rvr"",""~qvT"",""T""]","0,1",Other,,,,,Make sure you don't accidentally switch your variables
S19_HW2_Q3_P2,565,1,,"[""((p->r)^(q->r)^(pvq))->r"",""~((p->r)^(q->r)^(pvq))vr"",""((~(p->r))v(~(q->r))v(~(pvq)))vr"",""(p^~r)v(q^~r)v(~(pvq))vr"",""(~r^(pvq))v(~(pvq))vr"",""(~r^(pvq))v~((pvq)^~r)"",""TvF"",""T""]",,,,,,,
S19_HW2_Q3_P2,528,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((p^(p->r)^(q->r))v(q^(p->r)^(q->r))->r"",""(((r^p)^(q->r))v((r^q)^(p->r)))->r"",""(((r^p)^(~qvr))v((r^q)^(~pvr)))->r"",""((r^p^~q)v(r^p^r)v(r^q^~p)v(r^q^r))->r"",""((((r^p^~q)v(r^p)v(r^q^~p)v(r^q))->r"",""(r^p)v(r^q)->r"",""~((r^p)v(r^q))vr"",""(~rv~p)^(~qv~r)vr"",""~r^(~qv~r)v~p^(~qv~r)vr"",""~rv(~p^(~qv~r))vr"",""Tv(~p^(~qv~r))"",""T""]","5,6",Skipped Steps,,,,,
S19_HW2_Q3_P2,577,0,,"[""((p->r)^(q->r)^(pvq))$->r"",""((~pvr)^(~qvr)^(pvq))$->r"",""(((~p^~q)vr)^(pvq))$->r"",""((~(pvq)vr)^(pvq))$->r"",""((~(pvq)v(pvq))v(r^(pvq)))->r"",""((Fv(r^(pvq)))->r"",""(r^(pvq->r"",""~(r^(pvq)vr"",""~rvrv~(pvq)"",""Tv~(pvq)"",""T""]",0,Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(((~p^~q)vr)^(pvq))->r"",""((~(pvq)vr)^(pvq))->r"",""((~(pvq)v(pvq))v(r^(pvq)))->r"",""((Fv(r^(pvq)))->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rvrv~(pvq)"",""Tv~(pvq)"",""T""]",,,,Don't add unknown characters and make sure you close your parentheses
S19_HW2_Q3_P2,623,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv~p)^(rv~q)v(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(~r^(pvq)v(~p^~q)vr)"",""(~r^rv(pvq)v(~p^~q00"",""(Tv(pvq)v(~p^~q))"",""(Tv(~p^~q))"",""T""]",,,,,,,
S19_HW2_Q3_P2,611,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq)->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]","0,1",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(rv(~p^~q)^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,Make sure you close your parentheses
S19_HW2_Q3_P2,504,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""rv(~p^~q)^(pvq)->r"",""rv~(pvq)^(pvq)->r"",""rvF->r"",""r->r"",""T""]",,,,,,,
S19_HW2_Q3_P2,492,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(((~p^~q)vr)^(pvq))->r"",""((~(pvq)vr)^(pvq))->r"",""((~(pvq)^(pvq))v(r^(pvq)))->r"",""(Fv(r^(pvq)))->r"",""(r^(pvq))->r"",""~(r^(pvq))vr"",""~rv~(pvq)vr"",""~rvrv~(pvq)"",""Tv~(pvq)"",""T""]",,,,,,,
S19_HW2_Q3_P2,518,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv~p)^(rv~q)^(pvq))->r"",""((rv(~p^~q))^(pvq))->r"",""(rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,632,0,,"[""((p->r)^(q->r)^(pvq))->r"",""~((p->r)^(q->r)^(pvq)^~r)"",""~(((~p->r)^~r)^(~qvr)^(pvq))"",""~(((~r^~p)v(~r^r))^(~qvr)^(pvq))"",""~(((~r^~p)vF)^(~qvr)^(pvq))"",""~((~r^~p)^(~qvr)^(pvq))"",""~(((~r^~p)^(~qvr))^(pvq))"",""~(((~r^~p^~q)v(~r^~p^r))^(pvq))"",""~(((~r^~p^~q)v((~r^r)^~p))^(pvq))"",""~(((~r^~p^~q)v(F^~p))^(pvq))"",""~((~r^~p^~q)^(pvq))"",""~((~r^~p^~q^p)v(~r^~p^~q^q))"",""~((~r^(~p^p)^~q)v(~r^~p^(~q^q)))"",""~((~r^F^~q)v(~r^~p^F))"",""~(FvF)"",""~F"",""T""]","0,1",Logical Equivalence,,,,,
S19_HW2_Q3_P2,514,0,,"[""((p->r)^(q->r)^(pvq))->r"",""~((pvr)^(~qvr)^(p^q))vr"",""~(rv(~p^~q)^(pvq))vr"",""~(rv~(pvq)^(p^q))vr"",""~(rvF)vr"",""~rvr"",""T""]","0,1",Other,,,,,Remember all of your negatives and make sure you don't accidentally switch your operations
S19_HW2_Q3_P2,631,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""(~p^~q)vr^(pvq)->r"",""(~(pvq)^(pvq)vr)->r"",""Fvr->r"",""~(Fvr)vr"",""(~F^~r)vr"",""(T^~r)vr"",""~rvr"",""T""]",,,,,,,
S19_HW2_Q3_P2,482,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((~pvr)^(pvr))->r"",""(rvr)->r"",""r->r"",""~rvr"",""T""]","1,2",Skipped Steps,,,,,Don't skip steps
S19_HW2_Q3_P2,555,1,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)v(pvq))->r"",""((~pvr)^(pvq)^(~qvr))->r"",""((qvr)^(~qvr))->r"",""r->r"",""~rvr"",""T""]","2,3",Skipped Steps,,,,,Make sure you don't accidentally switch your operations and don't skip steps
S19_HW2_Q3_P2,561,0,,"[""((p->r)^(q->r)^(pvq))->r"",""~((~pvr)^(~qvr)^(pvq))vr"",""(p^~r)v(q^~r)v(~pv~q)vr"",""rv(p^~r)v(q^~r)v(~p^~q)"",""((rvp)^(rv~r))v(q^~r)v(~p^~q)"",""((rvp)^T)v(q^~r)v(~p^~q)"",""(rvp)v(q^~r)v(~p^~q)"",""rv(q^~r)vpv(~p^~q)"",""((rvq)^T)v(T^(pv~q))"",""(rvq)v(pv~q)"",""pvqvrv~r"",""pvqvT"",""T""]","7,8",Skipped Steps,,,,,Don't skip steps
S19_HW2_Q3_P2,607,0,,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^pvq))->r)"",""((rv(~p^~q)^(pvq))->r"",""((rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]","0,1",Syntax,"[""((p->r)^(q->r)^(pvq))->r"",""((~pvr)^(~qvr)^(pvq))->r"",""((rv(~p^~q)^(pvq))->r"",""((rv~(pvq)^(pvq))->r"",""(rvF)->r"",""r->r"",""~rvr"",""T""]",,,,Make sure you close your parentheses
